"","Pathway","Type","Plantform","Leafspan","Tregion","Wregion","Wregion2","opt","Date","Time","Datacontrib","Species","Funtype","fitgroup","Location","RH","Tair","Tleaf","CO2S","PARin","Patm","BLCond","Trmmol","SWC","SWP","latitude","longitude","Totalheight","LAI","sampleheight","canopyposition","LWP","LWPpredawn","Instrument","Season","GrowthCa","GrowthTair","Growthcond","Treatment","OriginalFile","Comments","Reference","LightSource","Cond","Photo","VPD","Ci"
"7660","C3","angiosperm","tree","evergreen","temperate","humid",0.977,"opt","20/07/2009","7:03:51","Nicolas Martin-StPaul","Quercus ilex_StPaul_Les Mages","temperate evergreen","all","Les Mages_France",52.63,21.52,25.02,395.54,1500,97.2,-9999,0.000976195,-9999,-9999,44.21666667,4.133333333,"5.8","2.8",-9999,"top",-9999,-1.623333333,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Wet site of the Gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.051325489,7.037894045,1.83,165.2753683
"7661","C3","angiosperm","tree","evergreen","temperate","humid",0.977,"opt","28/04/2009","7:27:24","Nicolas Martin-StPaul","Quercus ilex_StPaul_Les Mages","temperate evergreen","all","Les Mages_France",40.68,22.89,20.99,390.44,1502,95.59,-9999,0.00192395,-9999,-9999,44.21666667,4.133333333,"5.8","2.8",-9999,"top",-9999,-0.541666667,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Wet site of the Gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.137395954,13.16818845,1.36,225.7962925
"7662","C3","angiosperm","tree","evergreen","temperate","humid",0.977,"opt","27/11/2009","8:52:30","Nicolas Martin-StPaul","Quercus ilex_StPaul_Les Mages","temperate evergreen","all","Les Mages_France",34.61,19.93,18.36,391.47,1501,96.6,-9999,0.00232502,-9999,-9999,44.21666667,4.133333333,"5.8","2.8",-9999,"top",-9999,-0.475,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Wet site of the Gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.17580884,14.12632617,1.31,251.3583951
"7663","C3","angiosperm","tree","evergreen","temperate","humid",0.977,"opt","21/06/2009","11:12:15","Nicolas Martin-StPaul","Quercus ilex_StPaul_Les Mages","temperate evergreen","all","Les Mages_France",51.64,20.44,24.85,392.34,1498,96.91,-9999,0.001295798,-9999,-9999,44.21666667,4.133333333,"5.8","2.8",-9999,"top",-9999,-0.683333333,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Wet site of the Gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.065359016,6.721384566,1.91,215.8802581
"7664","C3","angiosperm","tree","evergreen","temperate","humid",0.977,"opt","20/07/2009","11:30:24","Nicolas Martin-StPaul","Quercus ilex_StPaul_Les Mages","temperate evergreen","all","Les Mages_France",35.94,28.42,35.37,396.99,1284,97.13,-9999,0.001922637,-9999,-9999,44.21666667,4.133333333,"5.8","2.8",-9999,"top",-9999,-1.623333333,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Wet site of the Gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.041581186,3.52687544,4.37,236.5247493
"7665","C3","angiosperm","tree","evergreen","temperate","humid",0.977,"opt","28/04/2009","12:03:04","Nicolas Martin-StPaul","Quercus ilex_StPaul_Les Mages","temperate evergreen","all","Les Mages_France",27.16,25.69,24.87,391.36,1500,95.63,-9999,0.002534926,-9999,-9999,44.21666667,4.133333333,"5.8","2.8",-9999,"top",-9999,-0.6,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Wet site of the Gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.107842013,12.56181951,2.26,189.8107527
"7666","C3","angiosperm","tree","evergreen","temperate","humid",0.977,"opt","27/11/2009","13:50:53","Nicolas Martin-StPaul","Quercus ilex_StPaul_Les Mages","temperate evergreen","all","Les Mages_France",37.77,21.66,20.53,396.34,1501,96.44,-9999,0.000998059,-9999,-9999,44.21666667,4.133333333,"5.8","2.8",-9999,"top",-9999,-0.475,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Wet site of the Gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.066537674,5.885031668,1.44,245.1460388
"7667","C3","angiosperm","tree","evergreen","temperate","humid",0.977,"opt","21/06/2009","7:51:01","Nicolas Martin-StPaul","Quercus ilex_StPaul_Les Mages","temperate evergreen","all","Les Mages_France",33.78,26.32,24.16,390.41,1500,96.9,-9999,0.00161879,-9999,-9999,44.21666667,4.133333333,"5.8","2.8",-9999,"top",-9999,-0.725,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Wet site of the Gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.084031581,8.651375128,1.86,213.4585795
"7668","C3","angiosperm","tree","evergreen","temperate","humid",0.977,"opt","20/07/2009","8:10:44","Nicolas Martin-StPaul","Quercus ilex_StPaul_Les Mages","temperate evergreen","all","Les Mages_France",56.87,22.85,27.63,397.42,1502,97.19,-9999,0.000624595,-9999,-9999,44.21666667,4.133333333,"5.8","2.8",-9999,"top",-9999,-1.416666667,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Wet site of the Gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.027967534,4.282132605,2.13,141.394821
"7669","C3","angiosperm","tree","evergreen","temperate","humid",0.977,"opt","28/04/2009","8:34:41","Nicolas Martin-StPaul","Quercus ilex_StPaul_Les Mages","temperate evergreen","all","Les Mages_France",35.51,25.41,23.76,388.88,1498,95.63,-9999,0.002578036,-9999,-9999,44.21666667,4.133333333,"5.8","2.8",-9999,"top",-9999,-0.5,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Wet site of the Gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.138761975,14.9041044,1.8,203.2238796
"7670","C3","angiosperm","tree","evergreen","temperate","humid",0.977,"opt","27/11/2009","10:00:55","Nicolas Martin-StPaul","Quercus ilex_StPaul_Les Mages","temperate evergreen","all","Les Mages_France",34.8,21.82,20.58,389.78,1499,96.64,-9999,0.002341063,-9999,-9999,44.21666667,4.133333333,"5.8","2.8",-9999,"top",-9999,-0.6,"Licor 6400(2cm_ Fluo)","-9999","ambient","ambient","Field","Wet site of the Gradient","-9999","-9999","Martin-StPaul et al 2012","-9999",0.151553411,17.25888159,1.52,194.6203498
